time,temperature,power,door_open
220,-1.921004927,0.31481469,0
221,-2.013490426,0.352459409,0
222,-2.115193218,0.29439441,0
223,-1.940056632,0.402630223,0
224,-1.957698844,0.304546968,0
225,-1.840997767,0.123520783,0
226,-1.807088728,0.253243369,0
227,-1.806735873,0.335125809,0
228,-1.564329579,0.454384526,0
229,-1.875458223,0.377014558,0
230,-1.802355849,0.287854965,0
231,-1.911523769,0.47583285,0
232,-1.92572724,0.277035518,0
233,-1.804516467,0.394192134,0
234,-1.752017398,0.303135878,0
235,-1.780581604,0.487523534,0
236,-1.957818627,0.278286586,0
237,-2.033846419,0.201038729,0
238,-1.862271516,0.223386957,0
239,-1.655398983,0.272746934,0
240,-1.557340908,0.457562974,0
241,-1.744792432,0.497110853,0
242,-1.945330647,0.220799141,0
243,-1.674094925,0.40964576,0
244,-1.774010196,0.379920519,0
245,-1.754354185,0.531630568,0
246,-2.02500412,0.578961657,0
247,-2.310053172,0.447266441,0
248,-2.318671391,0.148457375,0
249,-2.231996638,0.224372006,0
250,-1.988342287,0.482114069,0
251,-2.155669481,0.346426171,0
252,-2.102536155,0.317869799,0
253,-2.219192957,0.359055771,0
254,-2.044795796,0.260565467,0
255,-2.034772997,0.306490292,0
256,-1.973688553,0.438260905,0
257,-2.091691244,0.265869142,0
258,-1.988928107,0.49112891,0
259,-2.210876342,0.267194419,0
260,-2.085720103,0.294653434,0
261,-2.02568125,0.251075727,0
262,-1.964969754,0.4294429,0
263,-1.902179517,0.289621857,0
264,-1.921524638,0.406982154,0
265,-2.067847257,0.392026817,0
266,-2.09648282,0.341174839,0
267,-2.097811708,0.384515017,0
268,-2.088324423,0.356238475,0
269,-2.14267002,0.242413694,0
270,-1.964161322,0.189298899,0
271,-1.805504823,0.3471513,0
272,-1.664698132,0.337848872,0
273,-1.967016074,0.281226339,0
274,-1.789992219,0.32419201,0
275,-1.649551179,0.460352317,0
276,-1.700807754,0.44003737,0
277,-2.028495384,0.487636173,0
278,-2.056711339,0.278735305,0
279,-2.02268666,0.329860279,0
280,-1.696958405,0.429558283,0
281,-2.123328325,0.346319283,0
282,-2.069993625,0.327163723,0
283,-1.921713444,0.394088763,0
284,-2.218950513,0.163210772,0
285,-1.934157093,0.371921729,0
286,-1.898536249,0.26547571,0
287,-1.936208594,0.322628501,0
288,-1.799109372,0.291449456,0
289,-1.912272868,0.435291643,0
290,-1.985601471,0.329769545,0
291,-2.07218399,0.408729095,0
292,-1.910985326,0.434128744,0
293,-2.132051817,0.266945651,0
294,-1.926390057,0.417213775,0
295,-1.978332703,0.424744562,0
296,-1.846247039,0.557742731,0
297,-2.211761275,0.380682924,0
298,-2.431976037,0.203371607,0
299,-1.981566411,0.324786197,0
300,-2.272414513,0.300223707,0
301,-2.077443343,0.474965883,0
302,-2.380291027,0.146685981,0
303,-1.892666229,0.354490925,0
304,-1.915912466,0.347533324,0
305,-2.038969999,0.366120558,0
306,-2.05039616,0.369818514,0
307,-2.206125626,0.26319234,0
308,-1.899988408,0.437840328,0
309,-1.981691122,0.377648486,0
310,-2.091965682,0.215905135,0
311,-2.060480154,0.379995798,0
312,-2.075953373,0.434023008,0
313,-2.056144422,0.149534926,0
314,-1.877947235,0.479886346,0
315,-1.993688842,0.323579932,0
316,-2.029023953,0.293192255,0
317,-1.921864832,0.367506213,0
318,-2.180941094,0.372782142,0
319,-2.129611464,0.48255976,0
320,-2.252184194,0.178123023,0
321,-1.832580116,0.437143629,0
322,-2.039932373,0.430064645,0
323,-2.199308176,0.190639684,0
324,-1.958118618,0.317574805,0
325,-1.931106235,0.347556908,0
326,-1.923407709,0.350791013,0
327,-2.071470603,0.439615523,0
328,-2.130526382,0.497572219,0
329,-2.372333126,0.22058352,0
330,-1.839381017,0.393832884,1
331,-1.023777784,0.618486844,1
332,-0.380796839,0.499738351,1
333,0.347826635,0.785496093,1
334,0.583007273,0.981774852,1
335,1.045268444,0.924075471,1
336,1.40194806,1.066314528,1
337,1.358999363,0.810294271,1
338,1.961638968,1.059886882,1
339,1.85614384,1.03984932,1
340,1.841857745,1.172472371,1
341,1.863448297,1.047143387,1
342,2.071053634,1.11045239,1
343,2.0369003,1.207612884,1
344,1.977826285,1.050300762,1
345,2.06668487,1.179262021,1
346,1.845896075,1.073944187,1
347,2.068165951,1.123477436,1
348,2.097489561,1.136866066,1
349,2.091268276,1.142657888,1
350,1.944183295,1.201348525,0
351,1.067427101,0.930991924,0
352,0.431369531,0.830281106,0
353,-0.144191385,0.83568794,0
354,-0.493394468,0.57387521,0
355,-0.813853289,0.525966768,0
356,-1.169830155,0.665647933,0
357,-1.394594953,0.533332923,0
358,-1.491488441,0.418421135,0
359,-1.602772964,0.512580513,0
360,-1.889165923,0.636460387,0
361,-1.869542302,0.334864364,0
362,-2.254458188,0.22952485,0
363,-1.898145062,0.293093799,0
364,-2.028352626,0.285697472,0
365,-1.863244692,0.454434758,0
366,-1.914424218,0.525968226,0
367,-2.303785427,0.24091796,0
368,-1.919334528,0.382597475,0
369,-2.045378209,0.379833755,0
370,-2.121558557,0.3248673,0
371,-2.108558176,0.343755248,0
372,-2.064991419,0.242108435,0
373,-1.945110357,0.314046855,0
374,-2.062249608,0.532259943,0
375,-2.201619935,0.261651809,0
376,-1.920953028,0.436678922,0
377,-2.060832238,0.304623325,0
378,-2.111755708,0.153230083,0
379,-1.997232117,0.070333297,0
380,-1.667503356,0.301543923,0
381,-1.56490001,0.326072243,0
382,-1.492034339,0.198137686,0
383,-1.528155204,0.396344056,0
384,-1.400699842,0.350050744,0
385,-1.483663,0.46801084,0
386,-1.535846167,0.506373219,0
387,-1.732637434,0.104011227,0
388,-1.37292193,0.519079461,0
389,-1.704851693,0.409176761,0
390,-1.898156613,0.270549505,0
391,-1.9025437,0.306988521,0
392,-1.6819632,0.348052857,0
393,-1.692322864,0.407961154,0
394,-1.677590223,0.38726878,0
395,-1.872454643,0.432163603,0
396,-1.847876869,0.306631448,0
397,-1.886014016,0.507600775,0
398,-1.7524792,0.379423309,0
399,-2.003408145,0.249433491,0
400,-2.011915795,0.395219979,0
401,-2.031220303,0.235821623,0
402,-1.893284002,0.359148707,0
403,-1.801178151,0.399631115,0
404,-1.856243688,0.276494823,0
405,-2.043820284,0.423022126,0
406,-1.960029514,0.348828156,0
407,-1.795485659,0.374765515,0
408,-1.998052635,0.573591112,0
409,-2.45941649,0.099669346,0
410,-2.097411427,0.35889467,0
411,-2.172535872,0.48955577,0
412,-2.036595051,0.336976703,0
413,-2.219212278,0.265838714,0
414,-2.050515704,0.331251331,0
415,-2.212088747,0.371887705,0
416,-2.020961301,0.500510889,0
417,-2.350425381,0.438691076,0
418,-2.391315289,0.371412906,0
419,-2.37666051,0.359720966,0
420,-2.40415786,0.277665242,0
421,-2.425896085,0.263815136,0
422,-2.24705088,0.269029512,0
423,-1.902702302,0.272651328,0
424,-2.025297908,0.59896358,0
425,-2.103323418,0.353455713,0
426,-2.150428641,0.423213191,0
427,-2.412768784,0.129403168,0
428,-2.046087438,0.325793353,0
429,-2.21709091,0.432638703,0
430,-2.189346381,0.164898431,0
431,-1.963765066,0.177501406,0
432,-1.8704779,0.319472629,0
433,-1.73623955,0.33035922,0
434,-1.847389938,0.535328693,0
435,-1.970701248,0.224574783,0
436,-1.822276334,0.363910335,0
437,-1.916509518,0.313498716,0
438,-1.811284046,0.520657319,0
439,-2.039701974,0.196869052,0
440,-1.833949028,0.499363575,0
441,-1.974869093,0.186574456,0
442,-1.932972179,0.268731523,0
443,-1.611420332,0.459627774,0
444,-2.05458191,0.161444756,0
445,-1.687696525,0.414352905,0
446,-1.878699463,0.475657323,0
447,-1.947040271,0.399024286,0
448,-2.066773781,0.346785958,0
449,-1.954078884,0.367801908,0
450,-1.889514871,0.36353553,0
451,-1.884253105,0.212675526,0
452,-1.657408062,0.465348878,0
453,-1.865821502,0.38072657,0
454,-2.180393282,0.263217867,0
455,-1.817662893,0.390279221,0
456,-2.15492465,0.391949705,0
457,-1.934572685,0.279499856,0
458,-1.973714007,0.250118159,0
459,-1.847933566,0.296450042,0
460,-1.666248941,0.322723188,0
461,-1.669369476,0.476063042,0
462,-1.886616474,0.332578089,0
463,-2.142409997,0.335698665,0
464,-1.874983486,0.327274676,0
465,-2.014008421,0.40761199,0
466,-2.166787898,0.13275776,0
467,-1.664717352,0.425714848,0
468,-1.73454844,0.263939785,0
469,-1.66214614,0.545551974,0
470,-1.909619081,0.36711046,0
471,-2.023615996,0.445409903,0
472,-2.149101383,0.500301123,0
473,-2.198394881,0.311082774,0
474,-2.066678814,0.376717306,0
475,-2.301974069,0.126972992,0
476,-2.041479288,0.375214704,0
477,-1.890884772,0.373197894,1
478,-1.029682806,0.604959673,1
479,-0.387949899,0.675083858,1
480,0.282851822,0.833850003,1
481,0.627811978,0.832692189,1
482,0.944984672,0.926340001,1
483,1.348043514,0.868642542,1
484,1.758359751,1.028636241,1
485,1.547957506,0.929556818,1
486,1.907021673,1.104465357,1
487,2.074701471,1.16712603,1
488,2.128157289,1.184876231,1
489,1.917428543,1.096469292,1
490,2.017896185,1.139334695,1
491,1.946660829,1.055419225,1
492,1.894588717,1.126730752,1
493,1.988381,1.154439623,1
494,2.05204608,1.170981216,1
495,1.984584747,1.289114505,1
496,1.773044766,1.093808569,1
497,1.811826554,1.190093007,0
498,1.025185912,0.888024593,0
499,0.378749056,0.897716628,0
500,-0.280338336,0.52976201,0
501,-0.416521005,0.762114757,0
502,-0.815978526,0.525192182,0
503,-0.913717641,0.402334774,0
504,-1.171089886,0.594039911,0
505,-1.410575596,0.482966701,0
506,-1.367743316,0.311646716,0
507,-1.508380279,0.434055173,0
508,-1.602351011,0.48080155,0
509,-1.669825494,0.541809323,0
510,-1.937287465,0.329767015,0
511,-1.788964507,0.438165589,0
512,-1.877476466,0.210369846,0
513,-1.991272227,0.457163346,0
514,-1.93680466,0.256269509,0
515,-1.982699327,0.306716034,0
516,-1.7806148,0.312914382,0
517,-1.769783413,0.40015154,0
518,-1.890263751,0.591776884,0
519,-2.246809735,0.082744901,0
520,-1.937148516,0.370421699,0
521,-1.791953109,0.370780868,0
522,-1.902915273,0.568290137,0
523,-2.137210446,0.324420648,0
524,-2.113334204,0.323644806,0
525,-1.994907135,0.352770134,0
526,-2.128502162,0.322286657,0
527,-2.009829108,0.26912396,0
528,-2.007415758,0.265321099,0
529,-2.136754079,0.19667045,0
530,-1.6318507,0.349636275,0
531,-1.686880182,0.552776305,0
532,-2.09387643,0.200127677,0
533,-1.856139283,0.370690982,0
534,-1.939848924,0.313945681,0
535,-1.788145926,0.456733942,0
536,-1.916652758,0.306307405,0
537,-1.791908824,0.200243968,0
538,-1.778954386,0.513570291,0
539,-1.944504139,0.363723834,0
540,-1.875037593,0.396028418,0
541,-2.00240353,0.320923379,0
542,-1.854735632,0.45094259,0
543,-2.189457645,0.336114164,0
544,-2.110909558,0.455113463,0
545,-2.355480482,0.190213471,0
546,-2.002536642,0.37426331,0
547,-2.142255176,0.342270704,0
548,-1.739497239,0.424386384,0
549,-1.92297418,0.245662394,0
550,-2.047275251,0.478763139,0
551,-1.991062763,0.405631147,0
552,-2.202493353,0.359998327,0
553,-2.078647526,0.233003182,0
554,-2.051149166,0.202831054,0
555,-2.135024061,0.485660144,0
556,-2.079225215,0.322813794,0
557,-1.999391346,0.395738092,0
558,-2.042221653,0.495835303,0
559,-2.243400148,0.452483905,0
560,-2.271624321,0.303003679,0
561,-2.43878372,0.255877107,0
562,-2.480032758,0.145650782,0
563,-2.013251437,0.477667809,0
564,-2.138079292,0.19150779,0
565,-2.039563446,0.337359539,0
566,-2.03873583,0.30869477,0
567,-1.896414197,0.415195297,0
568,-2.041823521,0.298493862,0
569,-2.001329476,0.275794575,0
570,-2.113290641,0.189167371,0
571,-1.740854567,0.261803466,0
572,-1.811302936,0.494332095,0
573,-1.788224822,0.315035785,0
574,-1.857797942,0.310000256,0
575,-1.771619114,0.362214017,0
576,-1.788921203,0.479766675,0
577,-1.889339789,0.453106115,0
578,-1.890662492,0.262443406,0
579,-1.874020326,0.206723039,0
580,-1.924209049,0.271901167,0
581,-1.814898339,0.363566529,0
582,-1.837956928,0.396575331,0
583,-1.789931226,0.329115684,0
584,-1.837226847,0.556011848,0
585,-1.860962294,0.267978598,0
586,-1.993558242,0.300328838,0
587,-1.789301996,0.467526169,0
588,-2.006671096,0.391091043,0
589,-2.103080272,0.251661141,0
590,-2.034814578,0.128706278,0
591,-1.645063869,0.376195742,0
592,-1.613860927,0.330717154,0
593,-1.702149137,0.50839423,0
594,-1.985047786,0.236080868,0
595,-1.875742411,0.237865568,0
596,-1.680097078,0.442772128,0
597,-1.899097777,0.525881449,0
598,-2.179737901,0.21563152,0
599,-1.86009452,0.437511127,0
