,time,X-axis,Y-axis,X-velocity,Y-velocity,angle,angular_velocity,wind_speed,main_engine_power,left_right_engine_power
51,2016-04-08 00:00:51,-0.231186,0.87732285,-0.42007986,-0.3750848,-0.08686041,-0.055219926,3.4470608,0.88702095,-0.5354803
52,2016-04-08 00:00:52,-0.23535796,0.8694533,-0.41546768,-0.34985697,-0.08857316,-0.03425487,3.840055,0.48735085,-0.3657973
53,2016-04-08 00:00:53,-0.23941727,0.86201066,-0.40426177,-0.33088472,-0.090226114,-0.033059172,4.2154446,0.3315867,-0.29170865
54,2016-04-08 00:00:54,-0.24339275,0.85494804,-0.39580068,-0.3139982,-0.091959685,-0.034671362,4.572655,0.24014246,-0.19256952
55,2016-04-08 00:00:55,-0.2472014,0.8476042,-0.3795904,-0.32646957,-0.093223415,-0.02527453,4.9113607,0.22977683,-0.01750277
56,2016-04-08 00:00:56,-0.25084537,0.84046483,-0.36343247,-0.31736556,-0.09418183,-0.019168315,5.23146,0.30720016,0.078186765
57,2016-04-08 00:00:57,-0.2544766,0.83364433,-0.36170858,-0.30323118,-0.095582835,-0.02802,5.5330515,0.33547327,0.113734975
58,2016-04-08 00:00:58,-0.2581007,0.8271961,-0.36049378,-0.28670675,-0.09748435,-0.038030434,5.816409,0.42396942,0.11349295
59,2016-04-08 00:00:59,-0.26172465,0.8207621,-0.36003298,-0.28611237,-0.09982752,-0.04686349,6.081951,0.5069519,0.12611307
60,2016-04-08 00:01:00,-0.2653311,0.8145136,-0.35784608,-0.27789572,-0.102599986,-0.055449296,6.3302155,0.5546601,0.16449742
61,2016-04-08 00:01:01,-0.2688229,0.80823857,-0.34646133,-0.27908066,-0.10530475,-0.054095022,6.5618353,0.577976,0.21967457
62,2016-04-08 00:01:02,-0.2722273,0.8019087,-0.33764765,-0.28152737,-0.108070865,-0.055322282,6.777512,0.60141695,0.25882965
63,2016-04-08 00:01:03,-0.27564412,0.7959985,-0.33820137,-0.2629331,-0.11152952,-0.06917335,6.9779983,0.64261127,0.2713009
64,2016-04-08 00:01:04,-0.27883935,0.79066056,-0.3163556,-0.23748018,-0.11467544,-0.06291863,7.1640754,0.63823664,0.33443648
65,2016-04-08 00:01:05,-0.28182727,0.78577965,-0.29589704,-0.21715835,-0.117552504,-0.05754122,7.336542,0.5822592,0.35049325
66,2016-04-08 00:01:06,-0.2847622,0.7815208,-0.29007965,-0.18955868,-0.12094568,-0.06786351,7.4961963,0.48706654,0.28585124
67,2016-04-08 00:01:07,-0.28753477,0.7771012,-0.27410734,-0.19667955,-0.12408029,-0.06269213,7.643827,0.46720544,0.30071306
68,2016-04-08 00:01:08,-0.29017758,0.7724712,-0.2612489,-0.20604052,-0.12709671,-0.06032873,7.780205,0.4619278,0.30061555
69,2016-04-08 00:01:09,-0.29257208,0.768074,-0.23690322,-0.19564791,-0.12963387,-0.05074318,7.906076,0.37491873,0.31706244
70,2016-04-08 00:01:10,-0.2949019,0.7635115,-0.2302154,-0.20301746,-0.13238645,-0.055051483,8.022155,0.36703786,0.27658933
71,2016-04-08 00:01:11,-0.29712448,0.7592517,-0.21927202,-0.1895923,-0.13535826,-0.059436537,8.129123,0.28443462,0.22519843
72,2016-04-08 00:01:12,-0.29930744,0.75493544,-0.21492222,-0.19214554,-0.13872235,-0.06728177,8.227626,0.25160965,0.16177295
73,2016-04-08 00:01:13,-0.3013857,0.7503561,-0.2044354,-0.20384617,-0.14210133,-0.06757961,8.318269,0.23348287,0.113284424
74,2016-04-08 00:01:14,-0.303369,0.74553955,-0.19486299,-0.21440591,-0.14555831,-0.069139585,8.401623,0.19831076,0.0508492
75,2016-04-08 00:01:15,-0.3052269,0.74089396,-0.1821978,-0.20682782,-0.14914389,-0.071711704,8.478218,0.09667936,-0.03255208
76,2016-04-08 00:01:16,-0.3068636,0.7362585,-0.16045044,-0.20634405,-0.15235744,-0.06427107,8.548548,-0.026426643,-0.17252034
77,2016-04-08 00:01:17,-0.30843124,0.73102325,-0.15349722,-0.23301215,-0.1556179,-0.065209046,8.61307,0.00573197,-0.23162383
78,2016-04-08 00:01:18,-0.30986398,0.7257972,-0.13997406,-0.23261899,-0.1589184,-0.06600997,8.672207,-0.07507196,-0.35220397
79,2016-04-08 00:01:19,-0.31122676,0.7199714,-0.13292944,-0.25928718,-0.16226636,-0.06695925,8.726346,-0.040870756,-0.4130941
80,2016-04-08 00:01:20,-0.31251916,0.71354586,-0.12584487,-0.28595543,-0.16566204,-0.067913406,8.775847,-0.033137232,-0.4800539
81,2016-04-08 00:01:21,-0.31374082,0.7065206,-0.11872383,-0.3126237,-0.16910563,-0.06887196,8.821036,-0.02488646,-0.5231129
82,2016-04-08 00:01:22,-0.31492576,0.698909,-0.115908824,-0.33859333,-0.17169625,-0.05181223,8.862213,0.0947282,-0.3930111
83,2016-04-08 00:01:23,-0.31596774,0.6911841,-0.101635054,-0.34362867,-0.17426543,-0.051383488,8.899649,0.05275783,-0.47675097
84,2016-04-08 00:01:24,-0.31681356,0.6831216,-0.08239633,-0.35858762,-0.17645612,-0.043813743,8.933593,0.06253067,-0.52252996
85,2016-04-08 00:01:25,-0.3176365,0.67503405,-0.080976196,-0.3596054,-0.177777,-0.02641786,8.964268,0.17751107,-0.3390293
86,2016-04-08 00:01:26,-0.31821474,0.66711146,-0.056825913,-0.35223815,-0.17877823,-0.02002488,8.9918785,0.10075298,-0.421629
87,2016-04-08 00:01:27,-0.31854066,0.6592652,-0.031997718,-0.34878913,-0.17938036,-0.012042593,9.016606,0.035173148,-0.47693962
88,2016-04-08 00:01:28,-0.31873408,0.65123165,-0.018733136,-0.3571226,-0.1799848,-0.012088757,9.038615,-0.009643763,-0.5244134
89,2016-04-08 00:01:29,-0.3188928,0.6426078,-0.0161991,-0.38324478,-0.17965993,0.0064971903,9.058052,0.059540004,-0.18441238
90,2016-04-08 00:01:30,-0.31889257,0.63380116,-0.00041389716,-0.3913506,-0.17922196,0.008759417,9.075045,0.013813883,-0.2174645
91,2016-04-08 00:01:31,-0.31877947,0.62490666,0.011022243,-0.39527994,-0.17893285,0.0057823174,9.089707,-0.012821585,-0.29456162
92,2016-04-08 00:01:32,-0.31859335,0.61541206,0.018370423,-0.4219474,-0.17869307,0.0047954703,9.102141,-0.024240702,-0.26716095
93,2016-04-08 00:01:33,-0.3183342,0.6053177,0.02572691,-0.44861478,-0.1785027,0.0038074285,9.112431,-0.030692488,-0.24227338
94,2016-04-08 00:01:34,-0.31800193,0.5946235,0.03309004,-0.47528222,-0.17836177,0.0028185342,9.120649,-0.019130081,-0.23082967
95,2016-04-08 00:01:35,-0.31759638,0.5833293,0.040458176,-0.5019496,-0.17827033,0.001828924,9.126858,0.079865545,-0.23649268
96,2016-04-08 00:01:36,-0.31710047,0.5722477,0.049917046,-0.49255875,-0.17859448,-0.0064831288,9.131104,0.02385047,-0.38328332
97,2016-04-08 00:01:37,-0.31650162,0.5612696,0.06051282,-0.4879898,-0.17921849,-0.01248014,9.133428,0.0037754476,-0.45586336
98,2016-04-08 00:01:38,-0.31569347,0.55026907,0.08118326,-0.48895448,-0.17959079,-0.007446015,9.133855,0.0012297332,-0.47029328
99,2016-04-08 00:01:39,-0.31481332,0.5393343,0.088804826,-0.4860893,-0.180385,-0.01588414,9.132402,-0.012920171,-0.54655564
100,2016-04-08 00:01:40,-0.31390935,0.5278143,0.08997123,-0.5119463,-0.17995152,0.008669391,9.129077,0.2600946,-0.24290152
101,2016-04-08 00:01:41,-0.3128892,0.5165747,0.10191958,-0.49953264,-0.17985824,0.0018655971,9.123877,0.19883192,-0.35589516
102,2016-04-08 00:01:42,-0.3117742,0.50518,0.111605264,-0.50643885,-0.17996085,-0.0020521197,9.116787,0.23129758,-0.39100754
103,2016-04-08 00:01:43,-0.31041613,0.4938289,0.13553865,-0.5044622,-0.1796946,0.0053251623,9.107787,0.24297622,-0.39677155
104,2016-04-08 00:01:44,-0.30885658,0.48229238,0.15538144,-0.5126659,-0.1791212,0.011468031,9.096845,0.30466005,-0.36570907
105,2016-04-08 00:01:45,-0.30703384,0.47074443,0.1812144,-0.51311296,-0.17805387,0.02134651,9.083919,0.35357276,-0.32101882
106,2016-04-08 00:01:46,-0.30511084,0.4594085,0.19160303,-0.50373805,-0.17735425,0.013992463,9.068959,0.3450242,-0.42543983
107,2016-04-08 00:01:47,-0.30297318,0.4481568,0.21283881,-0.4999642,-0.17642958,0.018493341,9.051906,0.38099408,-0.43031806
108,2016-04-08 00:01:48,-0.30065852,0.43725637,0.23063317,-0.48436517,-0.17559253,0.01674121,9.032688,0.3542805,-0.5159755
109,2016-04-08 00:01:49,-0.29817718,0.4263624,0.24616945,-0.48394758,-0.1736237,0.03937671,9.011228,0.5070052,-0.29669148
110,2016-04-08 00:01:50,-0.2955134,0.41532207,0.264205,-0.49042657,-0.17144237,0.043626443,8.987435,0.59265697,-0.2549829
111,2016-04-08 00:01:51,-0.29263693,0.4044046,0.28526023,-0.48494616,-0.16904832,0.047881104,8.961211,0.6221446,-0.20933191
112,2016-04-08 00:01:52,-0.2897049,0.3933983,0.2911968,-0.48894346,-0.16704163,0.040133893,8.932447,0.6650466,-0.20478322
113,2016-04-08 00:01:53,-0.2866838,0.38248545,0.30042905,-0.4848246,-0.16535826,0.033667453,8.901024,0.66387165,-0.20859091
114,2016-04-08 00:01:54,-0.28334522,0.37220907,0.33172816,-0.45649338,-0.16322695,0.04262618,8.86681,0.5780171,-0.19494857
115,2016-04-08 00:01:55,-0.27986136,0.3618064,0.34620234,-0.46210352,-0.16104116,0.043715946,8.829665,0.6311408,-0.13716386
116,2016-04-08 00:01:56,-0.27608323,0.35200647,0.37524864,-0.43527898,-0.1584765,0.051293146,8.78944,0.54304004,-0.11317746
117,2016-04-08 00:01:57,-0.2721215,0.34202993,0.3933451,-0.44310316,-0.15564719,0.056586288,8.745972,0.6016567,-0.049938574
118,2016-04-08 00:01:58,-0.26786286,0.33248872,0.4225367,-0.42370883,-0.15232253,0.06649325,8.699087,0.49023452,-0.0041363686
119,2016-04-08 00:01:59,-0.2634662,0.32318687,0.43645945,-0.4130901,-0.1491242,0.0639666,8.648604,0.44571945,-0.025285408
120,2016-04-08 00:02:00,-0.25892472,0.31379214,0.45087752,-0.4172192,-0.14585768,0.065330654,8.59433,0.4876779,-0.02968271
